i,timestamp,Action,Start,End,Benef,Duration
41,2020-07-11 22:56:00,SELL,9218.46,9222.677135488952,-4.217135488952408,6
46,2020-07-11 23:01:00,SELL,9218.39,9222.29206454461,-3.9020645446107665,1
83,2020-07-11 23:38:00,BUY,9239.28,9254.287386266671,15.007386266670437,36
402,2020-07-12 04:57:00,SELL,9269.11,9273.528563915948,-4.418563915947743,1
419,2020-07-12 05:14:00,SELL,9262.16,9271.73613541838,-9.576135418379636,22
435,2020-07-12 05:30:00,SELL,9264.13,9268.945197010507,-4.8151970105082,6
502,2020-07-12 06:37:00,SELL,9257.81,9265.677210930691,-7.867210930691726,41
559,2020-07-12 07:34:00,SELL,9254.42,9244.815193359253,9.604806640747483,9
609,2020-07-12 08:24:00,BUY,9264.12,9260.31902449743,-3.800975502570509,7
649,2020-07-12 09:04:00,SELL,9249.34,9258.182426862606,-8.842426862605862,21
781,2020-07-12 11:16:00,SELL,9248.08,9260.035926009337,-11.955926009337418,64
792,2020-07-12 11:27:00,SELL,9253.43,9245.71155224091,7.71844775909085,14
797,2020-07-12 11:32:00,SELL,9250.15,9258.010993160739,-7.860993160738872,45
819,2020-07-12 11:54:00,SELL,9243.43,9254.259453989976,-10.829453989976173,10
864,2020-07-12 12:39:00,BUY,9259.99,9266.96935480351,6.979354803510432,5
890,2020-07-12 13:05:00,BUY,9265.86,9276.052133658108,10.192133658107196,11
934,2020-07-12 13:49:00,SELL,9212.9,9158.587941720089,54.31205827991107,339
947,2020-07-12 14:02:00,SELL,9201.73,9240.549158618378,-38.819158618378424,458
962,2020-07-12 14:17:00,SELL,9207.34,9169.317019710252,38.022980289748375,311
969,2020-07-12 14:24:00,SELL,9207.0,9172.59936162161,34.400638378390795,304
1033,2020-07-12 15:28:00,SELL,9210.1,9220.196112656571,-10.096112656570767,8
1154,2020-07-12 17:29:00,SELL,9209.92,9215.700567873937,-5.780567873936889,21
1168,2020-07-12 17:43:00,SELL,9207.75,9213.819046043225,-6.069046043225171,3
1472,2020-07-12 22:47:00,BUY,9281.92,9304.16736911052,22.247369110520594,70
1688,2020-07-13 02:23:00,SELL,9282.25,9284.928766241354,-2.6787662413535145,3
1703,2020-07-13 02:38:00,SELL,9280.56,9284.468749951546,-3.9087499515462696,14
1825,2020-07-13 04:40:00,SELL,9270.96,9277.337167518052,-6.377167518052374,19
1840,2020-07-13 04:55:00,SELL,9268.6,9275.54967894467,-6.949678944669358,1
1943,2020-07-13 06:38:00,SELL,9275.09,9270.341170095166,4.748829904834565,4
1963,2020-07-13 06:58:00,SELL,9262.49,9273.446588308587,-10.956588308587015,17
2102,2020-07-13 09:17:00,BUY,9283.14,9278.409149939778,-4.730850060221201,8
2175,2020-07-13 10:30:00,SELL,9270.26,9278.485796952938,-8.225796952938254,5
2508,2020-07-13 16:03:00,SELL,9297.8,9304.720063080556,-6.920063080557156,51
2667,2020-07-13 18:42:00,SELL,9280.68,9254.696331823743,25.983668176257197,36
2688,2020-07-13 19:03:00,SELL,9280.19,9260.51520259912,19.67479740088129,14
2723,2020-07-13 19:38:00,SELL,9223.98,9269.343130775027,-45.36313077502746,56
2727,2020-07-13 19:42:00,SELL,9238.0,9266.2166972916,-28.216697291600212,52
2733,2020-07-13 19:48:00,SELL,9225.46,9262.54254300081,-37.08254300081171,46
