i,timestamp,Action,Start,End,Benef,Duration
20906,2020-07-26 10:41:00,BUY,9966.99,9882.447338512906,-84.54266148709394,108
21951,2020-07-27 04:06:00,BUY,10228.51,10143.557742798283,-84.95225720171766,231
21983,2020-07-27 04:38:00,BUY,10239.51,10318.302236132331,78.7922361323308,74
22198,2020-07-27 08:13:00,SELL,10161.91,10214.33399758643,-52.42399758642932,92
22205,2020-07-27 08:20:00,SELL,10149.77,10207.628219286582,-57.858219286581516,85
23115,2020-07-27 23:30:00,SELL,10979.51,11083.500490136048,-103.99049013604781,5
23136,2020-07-27 23:51:00,SELL,11004.03,11065.638165701996,-61.60816570199495,7
23190,2020-07-28 00:45:00,BUY,11179.56,11122.934602803727,-56.62539719627239,39
23293,2020-07-28 02:28:00,SELL,11051.03,10922.309851580834,128.72014841916643,30
23350,2020-07-28 03:25:00,SELL,10924.55,11027.94159218143,-103.3915921814314,35
23353,2020-07-28 03:28:00,SELL,10896.61,11021.432751993883,-124.82275199388278,32
23365,2020-07-28 03:40:00,SELL,10893.36,10993.141679737577,-99.78167973757627,18
23370,2020-07-28 03:45:00,SELL,10899.97,10983.225807506991,-83.25580750699191,13
23373,2020-07-28 03:48:00,SELL,10906.33,10978.481861318418,-72.15186131841801,10
23646,2020-07-28 08:21:00,SELL,10828.33,10734.173408259805,94.15659174019493,29
23664,2020-07-28 08:39:00,SELL,10807.31,10712.270165100697,95.03983489930215,13
23672,2020-07-28 08:47:00,SELL,10775.26,10646.031400350323,129.22859964967756,83
23767,2020-07-28 10:22:00,SELL,10693.67,10748.98891925699,-55.31891925698983,11
23853,2020-07-28 11:48:00,BUY,10984.41,11163.986334407247,179.5763344072475,155
24014,2020-07-28 14:29:00,BUY,11112.36,11013.317557294224,-99.04244270577692,90
24031,2020-07-28 14:46:00,BUY,11134.41,11045.973762307922,-88.43623769207807,73
24161,2020-07-28 16:56:00,SELL,10942.3,11036.962431770236,-94.66243177023716,251
24166,2020-07-28 17:01:00,SELL,10939.36,11028.751985875364,-89.39198587536339,245
24178,2020-07-28 17:13:00,SELL,10933.79,11007.715851596766,-73.92585159676491,6
24250,2020-07-28 18:25:00,SELL,10915.66,10970.260374587393,-54.60037458739316,74
26008,2020-07-29 23:43:00,SELL,11101.38,10979.555680722115,121.82431927788457,19
26012,2020-07-29 23:47:00,SELL,11110.0,11009.86686404322,100.13313595677937,15
26017,2020-07-29 23:52:00,SELL,11087.87,10964.44318424529,123.42681575471033,184
26024,2020-07-29 23:59:00,SELL,11069.09,10932.549185688633,136.54081431136728,362
26039,2020-07-30 00:14:00,SELL,11030.0,10882.537208591162,147.4627914088378,769
26044,2020-07-30 00:19:00,SELL,11041.32,11120.479192704795,-79.15919270479571,47
27565,2020-07-31 01:40:00,SELL,10977.37,11044.428706894816,-67.05870689481526,186
28595,2020-07-31 18:50:00,SELL,11227.25,11288.146287129457,-60.89628712945705,40
29309,2020-08-01 06:44:00,BUY,11649.36,11576.064463481054,-73.29553651894639,256
29323,2020-08-01 06:58:00,BUY,11655.95,11595.070636313085,-60.879363686915895,11
29740,2020-08-01 13:55:00,SELL,11538.13,11600.235249899339,-62.10524989933947,67
30228,2020-08-01 22:03:00,SELL,11705.01,11784.848568920943,-79.83856892094263,48
30651,2020-08-02 05:06:00,SELL,11342.02,10955.739733710438,386.28026628956286,391
30659,2020-08-02 05:14:00,SELL,11278.86,11561.800092802374,-282.94009280237333,4776
30664,2020-08-02 05:19:00,SELL,11279.87,11536.29663325384,-256.4266332538391,4768
30668,2020-08-02 05:23:00,SELL,11276.05,11516.721534894788,-240.67153489478915,4758
30677,2020-08-02 05:32:00,SELL,11299.76,11039.574932773712,260.1850672262881,346
31037,2020-08-02 11:32:00,SELL,11134.24,10986.817546496019,147.42245350398116,5
31057,2020-08-02 11:52:00,SELL,11099.2,10984.152930176631,115.04706982336938,65
31062,2020-08-02 11:57:00,SELL,11109.86,11168.884622906355,-59.024622906354125,12
31126,2020-08-02 13:01:00,SELL,11029.81,11101.500844185288,-71.69084418528837,21
31523,2020-08-02 19:38:00,SELL,11155.26,11048.123367035485,107.13663296451523,115
31581,2020-08-02 20:36:00,SELL,11115.56,11006.540453373233,109.0195466267669,57
33118,2020-08-03 22:13:00,SELL,11250.0,11151.376660233384,98.62333976661648,58
33122,2020-08-03 22:17:00,SELL,11249.99,11158.43214689771,91.5578531022893,54
33163,2020-08-03 22:58:00,SELL,11198.69,11270.736958996607,-72.04695899660692,75
33172,2020-08-03 23:07:00,SELL,11199.72,11262.223600902837,-62.503600902837206,57
33176,2020-08-03 23:11:00,SELL,11150.0,11257.967739450187,-107.96773945018685,49
33946,2020-08-04 12:01:00,SELL,11146.16,11048.371708603061,97.7882913969388,75
33951,2020-08-04 12:06:00,SELL,11149.99,11066.225178837569,83.76482116243096,67
33956,2020-08-04 12:11:00,SELL,11119.89,11200.775997007422,-80.8859970074227,165
33971,2020-08-04 12:26:00,SELL,11127.18,11039.295876002296,87.88412399770459,50
33976,2020-08-04 12:31:00,SELL,11118.15,11025.617699008002,92.53230099199754,45
34740,2020-08-05 01:15:00,SELL,11109.51,11177.113897650966,-67.60389765096625,31
35459,2020-08-05 13:14:00,BUY,11572.71,11480.657107072448,-92.05289292755151,69
35467,2020-08-05 13:22:00,BUY,11584.19,11492.822417828655,-91.36758217134593,61
35484,2020-08-05 13:39:00,BUY,11584.24,11519.721870469468,-64.51812953053195,44
36012,2020-08-05 22:27:00,SELL,11622.09,11692.26938835315,-70.17938835314999,67
37423,2020-08-06 21:58:00,SELL,11735.27,11811.683600508017,-76.41360050801632,147
38419,2020-08-07 14:34:00,SELL,11620.53,11522.039367107813,98.49063289218793,170
38601,2020-08-07 17:36:00,SELL,11513.33,11395.697410584373,117.63258941562708,49
38649,2020-08-07 18:24:00,SELL,11438.42,11536.926510008003,-98.5065100080028,100
39591,2020-08-08 10:06:00,BUY,11738.96,11666.586484123834,-72.37351587616467,361
42041,2020-08-10 02:56:00,BUY,11996.38,11912.16923525243,-84.21076474756956,450
42048,2020-08-10 03:03:00,BUY,11986.31,11922.71883321067,-63.59116678932878,443
42533,2020-08-10 11:08:00,SELL,11708.39,11822.4032595618,-114.01325956179971,84
42536,2020-08-10 11:11:00,SELL,11705.23,11815.998696526116,-110.7686965261164,81
42540,2020-08-10 11:15:00,SELL,11707.12,11807.777564062804,-100.65756406280343,77
42549,2020-08-10 11:24:00,SELL,11713.29,11791.953883261982,-78.66388326198103,51
43113,2020-08-10 20:48:00,SELL,11773.0,11855.86245472721,-82.8624547272102,8
43764,2020-08-11 07:39:00,SELL,11709.31,11619.767689093274,89.5423109067251,329
43903,2020-08-11 09:58:00,SELL,11655.0,11737.778565770046,-82.77856577004604,55
44093,2020-08-11 13:08:00,SELL,11616.31,11505.076657984184,111.23334201581565,121
44108,2020-08-11 13:23:00,SELL,11613.01,11523.191584361388,89.81841563861235,102
44116,2020-08-11 13:31:00,SELL,11601.92,11512.623697525196,89.29630247480418,98
44157,2020-08-11 14:12:00,SELL,11566.89,11461.968728177259,104.92127182274089,59
44210,2020-08-11 15:05:00,SELL,11524.9,11419.659841832949,105.24015816705105,7
44269,2020-08-11 16:04:00,SELL,11470.98,11367.02106468333,103.95893531667025,7
44287,2020-08-11 16:22:00,SELL,11421.43,11502.430553769651,-81.00055376965065,73
44298,2020-08-11 16:33:00,SELL,11379.53,11488.404195203575,-108.87419520357435,62
44317,2020-08-11 16:52:00,SELL,11398.21,11457.131548035824,-58.92154803582525,42
44347,2020-08-11 17:22:00,SELL,11372.07,11432.538184022378,-60.46818402237841,11
44532,2020-08-11 20:27:00,SELL,11260.0,11377.01029072034,-117.01029072033998,104
44895,2020-08-12 02:30:00,SELL,11262.92,11328.187309361874,-65.26730936187414,72
46348,2020-08-13 02:43:00,SELL,11548.67,11460.418418845738,88.25158115426166,322
46712,2020-08-13 08:47:00,SELL,11420.54,11334.739285215786,85.8007147842145,19
46716,2020-08-13 08:51:00,SELL,11403.0,11297.9637588439,105.0362411561,20
46726,2020-08-13 09:01:00,SELL,11377.4,11462.628752644772,-85.22875264477261,115
46745,2020-08-13 09:20:00,SELL,11352.06,11422.882341119413,-70.82234111941398,92
47531,2020-08-13 22:26:00,BUY,11761.04,11684.785883771976,-76.25411622802494,279
49834,2020-08-15 12:49:00,SELL,11768.98,11829.525082723178,-60.545082723177984,112
52823,2020-08-17 14:38:00,BUY,12146.87,12253.710643811848,106.84064381184726,53
54223,2020-08-18 13:58:00,SELL,12119.98,11994.914066736404,125.06593326359507,15
54271,2020-08-18 14:46:00,SELL,11944.82,12071.655354604352,-126.83535460435269,387
54279,2020-08-18 14:54:00,SELL,11970.54,12054.329183699607,-83.78918369960593,367
54289,2020-08-18 15:04:00,SELL,11957.11,12035.67222896481,-78.56222896480904,124
54343,2020-08-18 15:58:00,SELL,11925.94,11996.559044457996,-70.61904445799519,40
55056,2020-08-19 03:51:00,SELL,11852.33,11761.806223509866,90.52377649013397,24
55101,2020-08-19 04:36:00,SELL,11719.33,11835.676562681372,-116.34656268137223,209
55143,2020-08-19 05:18:00,SELL,11725.6,11629.476027448756,96.12397255124415,61
55748,2020-08-19 15:23:00,SELL,11733.88,11797.476015920362,-63.59601592036233,41
58451,2020-08-21 12:26:00,SELL,11654.98,11715.549409137297,-60.56940913729704,13
58815,2020-08-21 18:30:00,SELL,11610.01,11679.693137037157,-69.68313703715648,14
58988,2020-08-21 21:23:00,SELL,11581.87,11476.167769838221,105.70223016177988,163
58992,2020-08-21 21:27:00,SELL,11575.47,11467.836639889645,107.63336011035426,159
58999,2020-08-21 21:34:00,SELL,11566.95,11461.018681410525,105.93131858947527,152
59014,2020-08-21 21:49:00,SELL,11506.0,11612.379699397361,-106.37969939736104,638
59020,2020-08-21 21:55:00,SELL,11537.8,11443.575160944049,94.22483905595072,141
59156,2020-08-22 00:11:00,SELL,11476.85,11390.736349318624,86.11365068137638,51
59162,2020-08-22 00:17:00,SELL,11440.29,11526.731070231632,-86.44107023163087,363
59178,2020-08-22 00:33:00,SELL,11438.02,11501.039443093267,-63.01944309326609,344
59216,2020-08-22 01:11:00,SELL,11397.76,11459.407884828564,-61.6478848285642,18
64220,2020-08-25 12:35:00,SELL,11487.05,11367.550042205927,119.49995779407254,92
64227,2020-08-25 12:42:00,SELL,11492.39,11396.37521658904,96.01478341095935,80
64304,2020-08-25 13:59:00,SELL,11424.56,11326.597800570456,97.96219942954303,177
64312,2020-08-25 14:07:00,SELL,11383.28,11239.919400476807,143.36059952319374,218
64325,2020-08-25 14:20:00,SELL,11393.27,11299.92540313362,93.34459686638002,164
64506,2020-08-25 17:21:00,SELL,11292.59,11182.752936475295,109.83706352470472,25
64561,2020-08-25 18:16:00,SELL,11184.97,11272.036050129227,-87.06605012922773,16
64953,2020-08-26 00:48:00,SELL,11253.4,11310.633881391677,-57.23388139167764,11
65677,2020-08-26 12:52:00,SELL,11303.26,11362.976351097272,-59.7163510972714,64
66476,2020-08-27 02:11:00,SELL,11373.18,11430.069661015548,-56.88966101554797,445
67204,2020-08-27 14:19:00,SELL,11303.9,11182.147823586074,121.75217641392555,162
67379,2020-08-27 17:14:00,SELL,11232.25,11146.63731866414,85.61268133586054,25
67393,2020-08-27 17:28:00,SELL,11212.29,11276.064154277685,-63.77415427768392,121
67416,2020-08-27 17:51:00,SELL,11174.21,11240.372774489173,-66.1627744891739,47
73952,2020-09-01 06:47:00,BUY,11840.06,11932.321640584867,92.26164058486756,61
75390,2020-09-02 06:45:00,SELL,11760.88,11658.793360708494,102.08663929150498,78
75396,2020-09-02 06:51:00,SELL,11756.55,11658.996644702305,97.553355297694,72
75466,2020-09-02 08:01:00,SELL,11700.7,11587.628568310529,113.07143168947186,146
75478,2020-09-02 08:13:00,SELL,11691.94,11592.570650977032,99.36934902296889,134
75678,2020-09-02 11:33:00,SELL,11379.15,11160.235739861519,218.91426013848104,1475
75682,2020-09-02 11:37:00,SELL,11372.49,11160.63330380927,211.85669619072905,1471
75688,2020-09-02 11:43:00,SELL,11358.8,11151.608121414354,207.1918785856451,1465
75982,2020-09-02 16:37:00,SELL,11250.0,11307.146905617432,-57.14690561743191,27
76727,2020-09-03 05:02:00,SELL,11262.77,11339.93448778154,-77.16448778153972,149
77117,2020-09-03 11:32:00,SELL,11207.1,11096.237145739311,110.86285426068935,37
77194,2020-09-03 12:49:00,SELL,10808.46,10463.919929501826,344.540070498173,167
77200,2020-09-03 12:55:00,SELL,10807.65,10497.071828887845,310.57817111215445,161
77207,2020-09-03 13:02:00,SELL,10818.89,10563.721801088715,255.16819891128398,151
77211,2020-09-03 13:06:00,SELL,10848.18,10655.962825306993,192.2171746930071,134
77214,2020-09-03 13:09:00,SELL,10837.86,10641.90465236135,195.95534763864998,132
77221,2020-09-03 13:16:00,SELL,10836.66,10667.868178531568,168.79182146843232,124
77225,2020-09-03 13:20:00,SELL,10850.01,10713.907318822598,136.1026811774027,116
77354,2020-09-03 15:29:00,SELL,10718.85,10575.676546973446,143.17345302655485,4
77447,2020-09-03 17:02:00,SELL,10597.71,10682.551143351087,-84.84114335108825,9
77451,2020-09-03 17:06:00,SELL,10620.96,10676.696247604688,-55.7362476046892,5
77859,2020-09-03 23:54:00,SELL,10185.26,10440.0752875607,-254.8152875606993,529
77866,2020-09-04 00:01:00,SELL,10107.76,10404.97556840352,-297.2155684035206,482
77874,2020-09-04 00:09:00,SELL,10202.55,10369.11727903483,-166.5672790348308,473
77986,2020-09-04 02:01:00,SELL,10237.36,10289.235496801126,-51.87549680112534,122
77995,2020-09-04 02:10:00,SELL,10216.17,10280.85971183969,-64.68971183969006,42
78001,2020-09-04 02:16:00,SELL,10206.2,10274.156536064243,-67.95653606424275,36
78016,2020-09-04 02:31:00,SELL,10199.6,10256.455273124053,-56.855273124052474,19
78398,2020-09-04 08:53:00,BUY,10426.22,10347.935192586363,-78.28480741363637,310
78429,2020-09-04 09:24:00,BUY,10445.9,10384.095698140774,-61.804301859225234,113
78479,2020-09-04 10:14:00,BUY,10495.49,10440.160390607143,-55.32960939285658,45
78580,2020-09-04 11:55:00,SELL,10376.88,10429.580608995835,-52.700608995835864,3
