i,timestamp,Action,Start,End,Benef,Duration
15,2021-07-01 15:55:00,SELL,33464.95,33511.3925882137,-46.44258821370022,3
36,2021-07-01 16:16:00,SELL,33285.71,33440.901011986665,-155.19101198666613,15
44,2021-07-01 16:24:00,SELL,33298.19,33420.61540524728,-122.4254052472752,7
75,2021-07-01 16:55:00,SELL,33175.01,33367.45768665899,-192.44768665899028,35
83,2021-07-01 17:03:00,SELL,33281.37,33344.86821581525,-63.49821581524884,16
108,2021-07-01 17:28:00,SELL,33221.65,33317.62704512968,-95.97704512967903,2
238,2021-07-01 19:38:00,SELL,32943.17,33259.00519459375,-315.83519459375384,21
245,2021-07-01 19:45:00,SELL,32918.95,33214.07789703428,-295.1278970342828,14
591,2021-07-02 01:31:00,SELL,33364.21,32988.89857754663,375.31142245337105,100
601,2021-07-02 01:41:00,SELL,33378.41,33079.46889759865,298.9411024013534,89
621,2021-07-02 02:01:00,SELL,33196.74,32753.443491015238,443.2965089847603,225
645,2021-07-02 02:25:00,SELL,33222.34,32967.04295665244,255.2970433475566,46
664,2021-07-02 02:44:00,SELL,33239.11,33076.80953572047,162.30046427952766,26
674,2021-07-02 02:54:00,SELL,33215.83,33049.74694498927,166.08305501073482,16
719,2021-07-02 03:39:00,SELL,32900.0,33129.73615057716,-229.73615057716233,37
725,2021-07-02 03:45:00,SELL,32909.2,33102.48721564317,-193.28721564316947,31
729,2021-07-02 03:49:00,SELL,32889.27,33087.030411840744,-197.7604118407471,27
739,2021-07-02 03:59:00,SELL,32875.02,33048.52060747734,-173.50060747734096,11
857,2021-07-02 05:57:00,SELL,32855.24,32994.8806784015,-139.64067840150528,4
870,2021-07-02 06:10:00,SELL,32854.76,32974.644938603895,-119.8849386038928,42
883,2021-07-02 06:23:00,SELL,32803.56,32934.606582813634,-131.04658281363663,7
1087,2021-07-02 09:47:00,SELL,32981.83,33142.349414475335,-160.51941447533318,76
1090,2021-07-02 09:50:00,SELL,33006.19,32814.511556526675,191.6784434733272,14
1097,2021-07-02 09:57:00,SELL,32979.04,32775.61129248384,203.42870751616283,13
1104,2021-07-02 10:04:00,SELL,32819.38,33090.11648967962,-270.7364896796207,25
1580,2021-07-02 18:00:00,SELL,33351.01,33119.09995587073,231.9100441292685,82
1587,2021-07-02 18:07:00,SELL,33377.95,33213.159096827185,164.79090317281225,55
1595,2021-07-02 18:15:00,SELL,33375.03,33230.091424213824,144.93857578617462,47
1605,2021-07-02 18:25:00,SELL,33323.98,33136.55773355572,187.42226644428592,57
1640,2021-07-02 19:00:00,SELL,33315.99,33182.643541766665,133.34645823333267,3
1714,2021-07-02 20:14:00,SELL,33132.56,33258.21665332882,-125.65665332882054,59
1991,2021-07-03 00:51:00,SELL,33540.01,33645.64660276675,-105.63660276674636,27
2052,2021-07-03 01:52:00,BUY,33710.34,33646.30988850067,-64.03011149932718,8
2079,2021-07-03 02:19:00,SELL,33540.27,33626.54607733009,-86.27607733009063,6
2119,2021-07-03 02:59:00,SELL,33464.46,33585.45890350565,-120.99890350564965,64
2140,2021-07-03 03:20:00,SELL,33433.94,33534.50533937511,-100.5653393751054,11
2144,2021-07-03 03:24:00,SELL,33445.48,33527.93847837163,-82.45847837162728,7
2467,2021-07-03 08:47:00,BUY,34527.99,34869.69617908259,341.7061790825901,533
2625,2021-07-03 11:25:00,SELL,34533.22,34475.34311556732,57.876884432684164,5
2630,2021-07-03 11:30:00,SELL,34472.87,34568.267575680635,-95.39757568063214,21
2641,2021-07-03 11:41:00,SELL,34487.3,34549.10408041382,-61.80408041381452,6
2770,2021-07-03 13:50:00,BUY,34627.79,34707.83899655774,80.04899655773625,7
2842,2021-07-03 15:02:00,BUY,34678.0,34640.57867168546,-37.42132831453637,18
2880,2021-07-03 15:40:00,SELL,34579.48,34636.95980002409,-57.4798000240844,4
2922,2021-07-03 16:22:00,SELL,34530.32,34597.08696957283,-66.76696957283275,11
2926,2021-07-03 16:26:00,SELL,34541.17,34592.033944023766,-50.863944023767544,7
3093,2021-07-03 19:13:00,SELL,34620.88,34663.23441241182,-42.354412411819794,16
3270,2021-07-03 22:10:00,SELL,34604.99,34435.01246354824,169.97753645175544,15
3275,2021-07-03 22:15:00,SELL,34609.65,34462.955903530994,146.6940964690075,10
3278,2021-07-03 22:18:00,SELL,34595.33,34436.482159738,158.84784026200214,7
3281,2021-07-03 22:21:00,SELL,34598.01,34452.3536301252,145.65636987479957,4
3284,2021-07-03 22:24:00,SELL,34518.45,34261.92828146031,256.5217185396905,2
3302,2021-07-03 22:42:00,SELL,34403.56,34593.929745813315,-190.36974581331742,14
3333,2021-07-03 23:13:00,SELL,34400.51,34537.95822098416,-137.44822098415898,18
3468,2021-07-04 01:28:00,SELL,34464.41,34527.34627220532,-62.936272205319256,3
3556,2021-07-04 02:56:00,BUY,34613.12,34709.69952632181,96.57952632180968,27
3615,2021-07-04 03:55:00,BUY,34670.09,34634.21430078578,-35.875699214215274,3
3620,2021-07-04 04:00:00,BUY,34683.81,34754.14779363136,70.33779363136273,23
