i,timestamp,Action,Start,End,Benef,Duration
75,2021-07-01 16:55:00,SELL,33175.01,33367.45768665899,-192.44768665899028,35
238,2021-07-01 19:38:00,SELL,32943.17,33259.00519459375,-315.83519459375384,21
245,2021-07-01 19:45:00,SELL,32918.95,33214.07789703428,-295.1278970342828,14
591,2021-07-02 01:31:00,SELL,33364.21,32988.89857754663,375.31142245337105,100
601,2021-07-02 01:41:00,SELL,33378.41,33079.46889759865,298.9411024013534,89
621,2021-07-02 02:01:00,SELL,33196.74,32753.443491015238,443.2965089847603,225
645,2021-07-02 02:25:00,SELL,33222.34,32967.04295665244,255.2970433475566,46
719,2021-07-02 03:39:00,SELL,32900.0,33129.73615057716,-229.73615057716233,37
725,2021-07-02 03:45:00,SELL,32909.2,33102.48721564317,-193.28721564316947,31
729,2021-07-02 03:49:00,SELL,32889.27,33087.030411840744,-197.7604118407471,27
739,2021-07-02 03:59:00,SELL,32875.02,33048.52060747734,-173.50060747734096,11
1104,2021-07-02 10:04:00,SELL,32819.38,33090.11648967962,-270.7364896796207,25
2467,2021-07-03 08:47:00,BUY,34527.99,34869.69617908259,341.7061790825901,533
3302,2021-07-03 22:42:00,SELL,34403.56,34593.929745813315,-190.36974581331742,14
3749,2021-07-04 06:09:00,BUY,35146.91,35464.055563816364,317.14556381636066,65
4770,2021-07-04 23:10:00,SELL,35334.1,35005.69125149242,328.40874850757973,49
4844,2021-07-05 00:24:00,SELL,34999.99,34625.51932414569,374.4706758543107,61
4847,2021-07-05 00:27:00,SELL,34930.01,34473.4783629437,456.5316370563014,75
4851,2021-07-05 00:31:00,SELL,34998.29,34674.756667498004,323.5333325019965,50
4855,2021-07-05 00:35:00,SELL,35000.0,34704.20339202127,295.7966079787293,46
4875,2021-07-05 00:55:00,SELL,34889.53,34582.31095972943,307.21904027056735,30
4878,2021-07-05 00:58:00,SELL,34877.26,34571.01530250821,306.24469749179116,31
4917,2021-07-05 01:37:00,SELL,34643.58,34243.677060533024,399.90293946697784,132
4922,2021-07-05 01:42:00,SELL,34497.01,33913.79182904039,583.2181709596116,580
4930,2021-07-05 01:50:00,SELL,34614.55,34277.22667432094,337.3233256790627,71
4937,2021-07-05 01:57:00,SELL,34558.05,34181.87190731085,376.1780926891515,112
4947,2021-07-05 02:07:00,SELL,34573.17,34276.01047310357,297.1595268964302,54
4956,2021-07-05 02:16:00,SELL,34415.08,33930.83653125183,484.24346874817275,546
4971,2021-07-05 02:31:00,SELL,34482.04,34218.15691585356,263.88308414644416,78
